modelquarter,GroupCount,mean_wtifutures_change
1,1,51.2682781259326
2,3,30.8739534604404
3,3,16.0455019335941
4,3,12.4495739420188
5,3,11.8017985248699
6,3,11.5666768022452
7,3,11.2008152207597
8,3,10.611536132046
9,3,10.0623306507988
10,3,9.44290918075309
11,3,8.6465461283461
12,3,7.84680047584871
13,3,6.99975474239973
14,3,6.11720372471285
15,3,5.28512175395728
16,3,4.48911846729293
17,3,3.69333393959522
18,3,2.89874069479001
19,3,2.23037530960216
20,3,1.42727481012657
21,2,0.864917547930089
